"Total calls:","173040"
"Total drops:","9668"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","5.59"
"Desired sale rate:","0.00 %"
"Actual sale rate:","1.49"
"Average call duration:","13.99 seconds"
"Erlangs:","1.7555"
"Estimated agents fielding calls:","5"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-02-01 09am","3","1","0:02:53","0:00:58","0:00:00","0.0000","0.0483","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 10am","1","1","0:01:40","0:01:40","0:00:00","0.0000","0.0278","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 11am","3","0","0:01:17","0:00:26","0:00:00","0.0000","0.0217","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 12pm","5","2","0:06:26","0:01:17","0:00:00","0.0000","0.1069","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 01pm","4","1","0:01:43","0:00:26","0:00:00","0.0000","0.0289","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 02pm","8","3","0:07:38","0:00:57","0:00:00","0.0000","0.1267","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 03pm","4","0","0:00:55","0:00:14","0:00:00","0.0000","0.0156","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 04pm","1","0","0:00:58","0:00:58","0:00:00","0.0000","0.0161","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 05pm","12","1","0:06:32","0:00:33","0:00:00","0.0000","0.1100","1","1","12.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 06pm","12","2","0:14:03","0:01:10","0:00:00","0.0000","0.2333","1","1","12.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 07pm","6","4","0:13:40","0:02:17","0:00:00","0.0000","0.2283","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 08pm","12","6","0:16:50","0:01:24","0:00:00","0.0000","0.2800","1","1","12.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-01 09pm","8","1","0:06:11","0:00:46","0:00:00","0.0000","0.1022","1","1","8.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 08am","1","0","0:02:54","0:02:54","0:00:00","0.0000","0.0483","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 09am","479","13","3:35:55","0:00:27","0:02:10","0.0543","3.5925","1","7","68.43","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 10am","851","18","4:07:09","0:00:17","0:03:17","0.0470","4.0186","1","8","106.38","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 11am","892","22","4:56:07","0:00:20","0:02:25","0.0325","4.9556","1","10","89.20","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 12pm","398","7","2:06:19","0:00:19","0:02:45","0.0829","2.1006","1","5","79.60","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 01pm","760","34","3:13:22","0:00:15","0:02:50","0.0447","3.1667","1","7","108.57","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 02pm","1061","33","4:24:10","0:00:15","0:04:02","0.0358","4.4208","1","9","117.89","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 03pm","821","24","3:42:05","0:00:16","0:03:07","0.0402","3.6489","1","8","102.62","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 04pm","815","13","4:10:57","0:00:18","0:04:19","0.0650","4.0750","1","8","101.88","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 05pm","431","7","2:10:39","0:00:18","0:03:10","0.0882","2.1550","1","5","86.20","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 06pm","170","1","0:21:23","0:00:08","0:02:27","0.1765","0.3778","1","2","85.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 07pm","153","1","0:25:54","0:00:10","0:01:35","0.1242","0.4250","1","2","76.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 08pm","146","3","0:27:19","0:00:11","0:01:42","0.1438","0.4461","1","2","73.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 09pm","71","1","0:08:58","0:00:08","0:00:25","0.0704","0.1578","1","2","35.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-02 10pm","4","1","0:03:00","0:00:45","0:00:00","0.0000","0.0500","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 08am","159","6","0:52:50","0:00:20","0:02:27","0.1887","0.8833","1","2","79.50","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 09am","742","10","3:27:48","0:00:17","0:02:50","0.0458","3.5039","1","7","106.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 10am","813","10","3:27:28","0:00:15","0:02:45","0.0406","3.3875","1","7","116.14","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 11am","703","17","3:36:02","0:00:18","0:03:21","0.0569","3.5150","1","7","100.43","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 12pm","582","8","2:14:39","0:00:14","0:03:27","0.0722","2.2633","1","5","116.40","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 01pm","851","16","3:29:37","0:00:15","0:02:46","0.0388","3.5458","1","8","106.38","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 02pm","894","12","3:37:29","0:00:15","0:03:33","0.0369","3.7250","1","8","111.75","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 03pm","803","9","2:58:43","0:00:13","0:01:50","0.0274","2.8997","1","7","114.71","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-02-03 04pm","910","12","4:22:38","0:00:17","0:04:55","0.0648","4.2972","1","8","113.75","$0.00","$0.00","$0.00","$0.00","$0.00"
