"Total calls:","3759"
"Total drops:","0"
"Desired drop rate:","3.00 %"
"Total blocking/drop rate:","0.00"
"Desired sale rate:","0.00 %"
"Actual sale rate:","26.07"
"Average call duration:","59.55 seconds"
"Erlangs:","0.0935"
"Estimated agents fielding calls:","N/A"
"Recommended agent count:","1"

"CALLING HOUR","CALLS","SALES","TOTAL TIME","AVG TIME","DROPPED HRS","BLOCKING","ERLANGS","REC AGENTS","EST AGENTS","CALLS/AGNT","REV/CALL","REV/AGENT","TOTAL REV","TOTAL COST","MARGIN"
"2026-01-01 11am","1","1","0:02:29","0:02:29","0:00:00","0.0000","0.0414","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 12pm","3","1","0:03:23","0:01:08","0:00:00","0.0000","0.0567","1","1","3.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 01pm","11","8","0:21:40","0:01:58","0:00:00","0.0000","0.3606","1","1","11.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 02pm","15","7","0:19:20","0:01:17","0:00:00","0.0000","0.3208","1","1","15.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 03pm","24","7","0:24:52","0:01:02","0:00:00","0.0000","0.4133","1","1","24.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 04pm","35","6","0:25:37","0:00:44","0:00:00","0.0000","0.4278","1","1","35.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 05pm","36","9","0:32:32","0:00:54","0:00:00","0.0000","0.5400","1","1","36.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 06pm","44","5","0:28:40","0:00:39","0:00:00","0.0000","0.4767","1","1","44.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 07pm","31","6","0:24:49","0:00:48","0:00:00","0.0000","0.4133","1","1","31.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 08pm","56","4","0:33:30","0:00:36","0:00:00","0.0000","0.5600","1","1","56.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 09pm","24","5","0:31:18","0:01:18","0:00:00","0.0000","0.5200","1","1","24.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-01 10pm","5","2","0:05:25","0:01:05","0:00:00","0.0000","0.0903","1","1","5.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-02 11am","1","1","0:01:15","0:01:15","0:00:00","0.0000","0.0208","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-02 12pm","1","0","0:00:17","0:00:17","0:00:00","0.0000","0.0047","1","1","1.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-02 01pm","4","3","0:05:00","0:01:15","0:00:00","0.0000","0.0833","1","1","4.00","$0.00","$0.00","$0.00","$0.00","$0.00"
"2026-01-02 02pm","6","3","0:05:28","0:00:55","0:00:00","0.0000","0.0917","1","1","6.00","$0.00","$0.00","$0.00","$0.00","$0.00"
